hotelCode,hotelName,categoryCode,categoryName,destinationCode,destinationName,zoneCode,zoneName,latitude,longitude,roomCode,roomName,rateKey,rateClass,rateType,net,allotment,paymentType,packaging,boardCode,boardName,rooms,adults,children,cancellationFrom,cancellationAmount
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,DBL.SU,Superior Room,20260514|20260515|W|270|137680|DBL.SU|GAR-RO EXIN|RO||1~2~0||N@07~~21b23~-271160713~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK006100000000012161d,NOR,BOOKABLE,29.22,5,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,29.22
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,DBL.LX-1,Premium Room,20260514|20260515|W|270|137680|DBL.LX-1|GAR-RO EXIN|RO||1~2~0||N@07~~20a27~1867187607~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000122620,NOR,BOOKABLE,32.38,8,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,32.38
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,DBL.DX-1,Deluxe Room,20260514|20260515|W|270|137680|DBL.DX-1|GAR-RO EXIN|RO||1~2~0||N@07~~2492e~1744610198~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000124726,NOR,BOOKABLE,38.71,2,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,38.71
137680,juSTa Gurgaon,4EST,4 STARS,DEL,Delhi and NCR,2,Gurgaon,28.48504700000000000000,77.10627900000000000000,SUI.DX,Suite Room with Bathtub,20260514|20260515|W|270|137680|SUI.DX|GAR-RO EXIN|RO||1~2~0||N@07~~25241~-711838286~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000123436,NOR,BOOKABLE,54.52,1,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-12T23:59:00+05:30,54.52
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260515|W|270|112029|DBL.ST|BAR-RO-NEW|RO||1~2~0||P@07~~21133~485946470~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000121133,NOR,BOOKABLE,51.17,83,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,51.17
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260515|W|270|112029|DBL.ST|BAR-RO-NEW|RO||1~2~0||N@07~~20237~736857520~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000120237,NOR,BOOKABLE,55.02,83,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,55.02
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260515|W|270|112029|DBL.ST|BAR-BB-NEW|BB||1~2~0||P@07~~20244~326825042~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK006100000000012623a,NOR,BOOKABLE,58.98,83,AT_WEB,true,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,58.98
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.ST,Standard King Room,20260514|20260515|W|270|112029|DBL.ST|BAR-BB-NEW|BB||1~2~0||N@07~~22b4c~1600603635~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000121c42,NOR,BOOKABLE,66.28,83,AT_WEB,,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,66.28
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.ST,Standard Twin Room,20260514|20260515|W|270|112029|DBT.ST|BAR-RO-NEW|RO||1~2~0||P@07~~21133~1609046366~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000121133,NOR,BOOKABLE,51.17,48,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,51.17
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.ST,Standard Twin Room,20260514|20260515|W|270|112029|DBT.ST|BAR-RO-NEW|RO||1~2~0||N@07~~20237~1859957416~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000120237,NOR,BOOKABLE,55.02,48,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,55.02
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.ST,Standard Twin Room,20260514|20260515|W|270|112029|DBT.ST|BAR-BB-NEW|BB||1~2~0||P@07~~20244~1449924938~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK006100000000012623a,NOR,BOOKABLE,58.98,48,AT_WEB,true,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,58.98
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.ST,Standard Twin Room,20260514|20260515|W|270|112029|DBT.ST|BAR-BB-NEW|BB||1~2~0||N@07~~22b4c~-1571263765~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000121c42,NOR,BOOKABLE,66.28,48,AT_WEB,,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,66.28
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.DX,Deluxe King Room,20260514|20260515|W|270|112029|DBL.DX|BAR-RO-NEW|RO||1~2~0||P@07~~20f39~2092847889~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000120f39,NOR,BOOKABLE,57.15,150,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,57.15
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.DX,Deluxe King Room,20260514|20260515|W|270|112029|DBL.DX|BAR-RO-NEW|RO||1~2~0||N@07~~22e3d~-2119792673~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000122e3d,NOR,BOOKABLE,61.46,150,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,61.46
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.DX,Deluxe King Room,20260514|20260515|W|270|112029|DBL.DX|BAR-BB-NEW|BB||1~2~0||P@07~~23f4a~-513609798~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000124940,NOR,BOOKABLE,64.73,150,AT_WEB,true,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,64.73
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.DX,Deluxe King Room,20260514|20260515|W|270|112029|DBL.DX|BAR-BB-NEW|BB||1~2~0||N@07~~25553~346151678~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000124948,NOR,BOOKABLE,72.73,150,AT_WEB,,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,72.73
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.DX-1,Deluxe Twin Room,20260514|20260515|W|270|112029|DBT.DX-1|BAR-RO-NEW|RO||1~2~0||P@07~~20f39~-2035541715~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000120f39,NOR,BOOKABLE,57.15,150,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,57.15
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.DX-1,Deluxe Twin Room,20260514|20260515|W|270|112029|DBT.DX-1|BAR-RO-NEW|RO||1~2~0||N@07~~22e3d~-1953214981~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000122e3d,NOR,BOOKABLE,61.46,150,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,61.46
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.DX-1,Deluxe Twin Room,20260514|20260515|W|270|112029|DBT.DX-1|BAR-BB-NEW|BB||1~2~0||P@07~~23f4a~-347032106~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000124940,NOR,BOOKABLE,64.73,28,AT_WEB,true,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,64.73
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBT.DX-1,Deluxe Twin Room,20260514|20260515|W|270|112029|DBT.DX-1|BAR-BB-NEW|BB||1~2~0||N@07~~25553~512729370~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000124948,NOR,BOOKABLE,72.73,28,AT_WEB,,BB,BED AND BREAKFAST,1,2,,2026-05-11T23:59:00+05:30,72.73
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.PI-1,Premium Deluxe Room,20260514|20260515|W|270|112029|DBL.PI-1|BAR-RO-NEW|RO||1~2~0||P@07~~20d3f~1532343920~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000120d3f,NOR,BOOKABLE,63.13,17,AT_WEB,true,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,63.13
112029,Royal Plaza New Delhi,4EST,4 STARS,DEL,Delhi and NCR,1,Delhi,28.62142800000000000000,77.21717100000000000000,DBL.PI-1,Premium Deluxe Room,20260514|20260515|W|270|112029|DBL.PI-1|BAR-RO-NEW|RO||1~2~0||N@07~~25943~95144358~N~~~NOR~~8A9B579EA6C14D0177818888430105AAUK0061000000000125943,NOR,BOOKABLE,67.89,17,AT_WEB,,RO,ROOM ONLY,1,2,,2026-05-11T23:59:00+05:30,67.89
